Date,Start Time,End Time,Duration (min),From,To,KM,Trip Type,Purpose,Claim (ZAR),Month
2019-07-04,2019-07-04 10:25:07,2019-07-04 11:36:31,71.4,"-24.5221, 28.7115","-23.8885, 29.4485",106.08,Business,Client Visit,492.21,July
2019-07-04,2019-07-04 13:43:58,2019-07-04 14:32:31,48.5,"-23.8896, 29.447","-24.2727, 28.9955",69.23,Business,Client Visit,321.23,July
2019-07-04,2019-07-04 14:56:24,2019-07-04 15:39:00,42.6,"-24.2728, 28.9951","-24.8055, 28.4447",82.45,Business,Client Visit,382.57,July
2019-07-05,2019-07-05 07:24:39,2019-07-05 07:27:19,2.7,"-26.1173, 27.8385","-26.1186, 27.8504",1.58,Business,Local Travel,7.33,July
2019-07-05,2019-07-05 07:32:46,2019-07-05 07:34:54,2.1,"-26.1186, 27.8504","-26.112, 27.8472",1.22,Business,Local Travel,5.66,July
2019-07-05,2019-07-05 11:52:47,2019-07-05 22:49:40,656.9,"-26.112, 27.8473","-26.113, 27.8344",1.29,Business,Local Travel,5.99,July
2019-07-06,2019-07-06 09:12:15,2019-07-06 09:16:18,4.0,"-26.1133, 27.8351","-26.126, 27.8472",2.03,Business,Meeting,9.42,July
2019-07-06,2019-07-06 09:22:46,2019-07-06 09:33:09,10.4,"-26.1258, 27.8472","-26.1131, 27.8345",2.4,Business,Meeting,11.14,July
2019-07-06,2019-07-06 13:36:16,2019-07-06 13:39:52,3.6,"-26.1173, 27.8385","-26.1258, 27.8472",1.41,Business,Meeting,6.54,July
2019-07-06,2019-07-06 14:01:33,2019-07-06 14:08:43,7.2,"-26.1258, 27.8472","-26.1131, 27.8345",2.11,Business,Meeting,9.79,July
2019-07-06,2019-07-06 14:33:26,2019-07-06 14:38:00,4.6,"-26.1131, 27.8345","-26.1193, 27.8501",1.96,Business,Meeting,9.09,July
2019-07-06,2019-07-06 15:50:19,2019-07-06 15:54:16,4.0,"-26.1203, 27.8493","-26.1172, 27.8385",1.46,Business,Meeting,6.77,July
2019-07-06,2019-07-06 19:21:45,2019-07-06 19:25:41,3.9,"-26.1138, 27.8346","-26.1258, 27.8472",2.0,Business,Local Travel,9.28,July
2019-07-06,2019-07-06 19:50:11,2019-07-06 20:01:09,11.0,"-26.1265, 27.8466","-26.1145, 27.7839",8.52,Business,General Travel,39.53,July
2019-07-06,2019-07-06 20:06:34,2019-07-06 20:08:19,1.8,"-26.1145, 27.7839","-26.122, 27.7898",1.38,Business,Local Travel,6.4,July
2019-07-06,2019-07-06 20:13:44,2019-07-06 20:31:42,18.0,"-26.1215, 27.7894","-26.1267, 27.8465",9.28,Business,General Travel,43.06,July
2019-07-06,2019-07-06 20:43:43,2019-07-06 20:54:13,10.5,"-26.1267, 27.8462","-26.1128, 27.8345",2.71,Business,Local Travel,12.57,July
2019-07-08,2019-07-08 07:59:39,2019-07-08 08:05:05,5.4,"-26.1179, 27.8387","-26.112, 27.8472",3.36,Business,Local Travel,15.59,July
2019-07-08,2019-07-08 08:44:16,2019-07-08 08:56:21,12.1,"-26.1117, 27.8474","-26.1216, 27.8129",5.9,Business,Meeting,27.38,July
2019-07-08,2019-07-08 09:04:29,2019-07-08 09:09:07,4.6,"-26.122, 27.8139","-26.1173, 27.8385",3.57,Business,Meeting,16.56,July
2019-07-08,2019-07-08 09:16:29,2019-07-08 09:20:27,4.0,"-26.1173, 27.8385","-26.112, 27.8472",3.19,Business,Meeting,14.8,July
2019-07-08,2019-07-08 10:56:55,2019-07-08 11:18:59,22.1,"-26.112, 27.8472","-26.0676, 27.8339",13.51,Business,Client Visit,62.69,July
2019-07-08,2019-07-08 12:22:28,2019-07-08 12:35:53,13.4,"-26.0676, 27.8339","-26.112, 27.8474",11.94,Business,Client Visit,55.4,July
